Ime,Leto,Velikost,Cena,Regija
KODELJEVO,1963,57.2,180000.0,ljubljana-mesto
KODELJEVO,1965,68.2,240000.0,ljubljana-mesto
KODELJEVO,1963,75.2,265000.0,ljubljana-mesto
KODELJEVO,1974,85.0,274000.0,ljubljana-mesto
"KODELJEVO, BLIZU DIF - A",1963,42.0,199000.0,ljubljana-mesto
"KODELJEVO, HRADECKEGA",2021,75.8,410000.0,ljubljana-mesto
KOLEZIJA,2023,122.38,640000.0,ljubljana-mesto
KOLEZIJA,2023,135.0,840000.0,ljubljana-mesto
"KOLEZIJA, LEPI POT",1928,53.0,228900.0,ljubljana-mesto
KOSEZE,1972,34.0,125000.0,ljubljana-mesto
KOSEZE,1980,69.0,284000.0,ljubljana-mesto
KOSEZE,2000,84.1,470000.0,ljubljana-mesto
KOSEZE,1978,92.9,380000.0,ljubljana-mesto
KOSEZE,1975,108.8,349000.0,ljubljana-mesto
KOSEZE,1980,112.0,445000.0,ljubljana-mesto
KOSEZE,1980,112.0,445000.0,ljubljana-mesto
KOSEZE,1980,112.0,445000.0,ljubljana-mesto
KOSEZE,2008,224.3,990000.0,ljubljana-mesto
"KOSEZE, LJ. ŠIŠKA",1978,105.3,395000.0,ljubljana-mesto
"KOSEZE, LJ. ŠIŠKA",1980,112.0,445000.0,ljubljana-mesto
"KOSEZE, LJ. ŠIŠKA",1980,112.0,445000.0,ljubljana-mesto
LJ. BEŽIGRAD,1954,18.9,100000.0,ljubljana-mesto
LJ. BEŽIGRAD,1962,19.97,101000.0,ljubljana-mesto
LJ. BEŽIGRAD,1940,27.0,150000.0,ljubljana-mesto
LJ. BEŽIGRAD,1964,27.0,134000.0,ljubljana-mesto
LJ. BEŽIGRAD,1970,27.0,134000.0,ljubljana-mesto
LJ. BEŽIGRAD,1938,30.31,139999.0,ljubljana-mesto
LJ. BEŽIGRAD,2005,33.7,265000.0,ljubljana-mesto
LJ. BEŽIGRAD,1963,34.0,159000.0,ljubljana-mesto
LJ. BEŽIGRAD,1964,34.0,158800.0,ljubljana-mesto
LJ. BEŽIGRAD,1962,36.1,147000.0,ljubljana-mesto
LJ. BEŽIGRAD,1958,38.0,160000.0,ljubljana-mesto
LJ. BEŽIGRAD,1986,38.3,200000.0,ljubljana-mesto
LJ. BEŽIGRAD,1964,38.3,167000.0,ljubljana-mesto
LJ. BEŽIGRAD,1986,38.4,156000.0,ljubljana-mesto
LJ. BEŽIGRAD,1978,39.7,159000.0,ljubljana-mesto
LJ. BEŽIGRAD,1964,40.0,140000.0,ljubljana-mesto
LJ. BEŽIGRAD,1976,44.0,180000.0,ljubljana-mesto
LJ. BEŽIGRAD,1976,44.3,180000.0,ljubljana-mesto
LJ. BEŽIGRAD,2006,44.3,198000.0,ljubljana-mesto
LJ. BEŽIGRAD,1976,44.3,180000.0,ljubljana-mesto
LJ. BEŽIGRAD,1978,44.95,174000.0,ljubljana-mesto
LJ. BEŽIGRAD,1972,45.0,210000.0,ljubljana-mesto
LJ. BEŽIGRAD,1968,45.8,170000.0,ljubljana-mesto
LJ. BEŽIGRAD,1982,46.4,209000.0,ljubljana-mesto
LJ. BEŽIGRAD,1961,47.1,220000.0,ljubljana-mesto
LJ. BEŽIGRAD,1892,48.9,200000.0,ljubljana-mesto
LJ. BEŽIGRAD,1963,52.5,198000.0,ljubljana-mesto
LJ. BEŽIGRAD,1967,54.6,215000.0,ljubljana-mesto
LJ. BEŽIGRAD,1967,54.6,196000.0,ljubljana-mesto
LJ. BEŽIGRAD,1967,55.7,202000.0,ljubljana-mesto
LJ. BEŽIGRAD,1976,59.3,267000.0,ljubljana-mesto
LJ. BEŽIGRAD,1978,60.1,229000.0,ljubljana-mesto
LJ. BEŽIGRAD,1972,63.3,224000.0,ljubljana-mesto
LJ. BEŽIGRAD,1965,63.5,249000.0,ljubljana-mesto
LJ. BEŽIGRAD,2003,63.9,267000.0,ljubljana-mesto
LJ. BEŽIGRAD,2003,63.9,267000.0,ljubljana-mesto
LJ. BEŽIGRAD,1974,64.0,229000.0,ljubljana-mesto
LJ. BEŽIGRAD,1965,66.0,280000.0,ljubljana-mesto
LJ. BEŽIGRAD,1892,66.2,200000.0,ljubljana-mesto
LJ. BEŽIGRAD,1981,72.8,249000.0,ljubljana-mesto
LJ. BEŽIGRAD,1983,74.3,448000.0,ljubljana-mesto
LJ. BEŽIGRAD,1978,76.8,355000.0,ljubljana-mesto
LJ. BEŽIGRAD,1954,77.0,267000.0,ljubljana-mesto
LJ. BEŽIGRAD,1982,78.9,330000.0,ljubljana-mesto
LJ. BEŽIGRAD,1982,78.9,298000.0,ljubljana-mesto
LJ. BEŽIGRAD,1978,79.0,295000.0,ljubljana-mesto
LJ. BEŽIGRAD,1965,79.7,249000.0,ljubljana-mesto
LJ. BEŽIGRAD,1976,79.8,230000.0,ljubljana-mesto
LJ. BEŽIGRAD,1963,80.2,299000.0,ljubljana-mesto
LJ. BEŽIGRAD,1981,81.0,260000.0,ljubljana-mesto
LJ. BEŽIGRAD,1951,81.35,330000.0,ljubljana-mesto
LJ. BEŽIGRAD,2000,82.0,265000.0,ljubljana-mesto
LJ. BEŽIGRAD,2022,84.0,317400.0,ljubljana-mesto
LJ. BEŽIGRAD,2000,84.0,245000.0,ljubljana-mesto
LJ. BEŽIGRAD,2006,86.0,470000.0,ljubljana-mesto
LJ. BEŽIGRAD,1932,88.5,239000.0,ljubljana-mesto
LJ. BEŽIGRAD,1951,92.0,278000.0,ljubljana-mesto
LJ. BEŽIGRAD,1951,92.4,279000.0,ljubljana-mesto
LJ. BEŽIGRAD,1951,92.4,279000.0,ljubljana-mesto
LJ. BEŽIGRAD,1939,94.6,280000.0,ljubljana-mesto
LJ. BEŽIGRAD,1927,95.4,255000.0,ljubljana-mesto
LJ. BEŽIGRAD,1952,95.7,269000.0,ljubljana-mesto
LJ. BEŽIGRAD,1940,97.63,299500.0,ljubljana-mesto
LJ. BEŽIGRAD,2009,99.0,480000.0,ljubljana-mesto
LJ. BEŽIGRAD,2011,100.3,449000.0,ljubljana-mesto
LJ. BEŽIGRAD,1976,100.3,210000.0,ljubljana-mesto
LJ. BEŽIGRAD,2011,100.5,449000.0,ljubljana-mesto
LJ. BEŽIGRAD,1922,104.0,350000.0,ljubljana-mesto
LJ. BEŽIGRAD,1978,110.0,360000.0,ljubljana-mesto
LJ. BEŽIGRAD,1940,110.0,398000.0,ljubljana-mesto
LJ. BEŽIGRAD,2023,115.78,504668.56,ljubljana-mesto
LJ. BEŽIGRAD,2022,116.7,323000.0,ljubljana-mesto
LJ. BEŽIGRAD,1942,117.6,495000.0,ljubljana-mesto
LJ. BEŽIGRAD,2022,118.44,508803.29,ljubljana-mesto
LJ. BEŽIGRAD,1922,121.7,350000.0,ljubljana-mesto
LJ. BEŽIGRAD,2012,123.8,630000.0,ljubljana-mesto
LJ. BEŽIGRAD,1965,125.0,480000.0,ljubljana-mesto
LJ. BEŽIGRAD,2022,127.0,490647.0,ljubljana-mesto
LJ. BEŽIGRAD,1980,128.6,450000.0,ljubljana-mesto
LJ. BEŽIGRAD,1995,137.3,695000.0,ljubljana-mesto
LJ. BEŽIGRAD,2022,142.88,684056.61,ljubljana-mesto
LJ. BEŽIGRAD,1903,150.0,429000.0,ljubljana-mesto
LJ. BEŽIGRAD,1973,152.0,495000.0,ljubljana-mesto
LJ. BEŽIGRAD,1973,152.0,495000.0,ljubljana-mesto
LJ. BEŽIGRAD,2019,159.0,1250000.0,ljubljana-mesto
LJ. BEŽIGRAD,2011,188.06,549000.0,ljubljana-mesto
LJ. BEŽIGRAD,2001,230.0,890000.0,ljubljana-mesto
LJ. BEŽIGRAD,2009,297.6,1150000.0,ljubljana-mesto
LJ. BEŽIGRAD,2011,359.8,975000.0,ljubljana-mesto
"LJ. BEŽIGRAD, - SAVSKO NASELJE",1958,35.0,145000.0,ljubljana-mesto
"LJ. BEŽIGRAD, BLIZU CENTRA",1959,75.3,334000.0,ljubljana-mesto
"LJ. BEŽIGRAD, BLIZU PLAVE LAGUNE",1890,49.1,160000.0,ljubljana-mesto
"LJ. BEŽIGRAD, BLIŽINA CENTRA",1971,62.1,219500.0,ljubljana-mesto
"LJ. BEŽIGRAD, BLIŽINA CENTRA IN FAKULTET",1960,59.57,210000.0,ljubljana-mesto
"LJ. BEŽIGRAD, BLIŽINA ŠOLE DANILE KUMAR",1903,135.0,450000.0,ljubljana-mesto
"LJ. BEŽIGRAD, BRATOVŠEVA PLOŠČAD",1975,78.2,263000.0,ljubljana-mesto
"LJ. BEŽIGRAD, BS 3",1978,58.3,267000.0,ljubljana-mesto
"LJ. BEŽIGRAD, BS3",1981,46.0,260000.0,ljubljana-mesto
"LJ. BEŽIGRAD, BS3",1977,51.2,218500.0,ljubljana-mesto
"LJ. BEŽIGRAD, BS3",1977,76.7,289000.0,ljubljana-mesto
"LJ. BEŽIGRAD, BS3, TREBINJSKA",1977,63.6,250000.0,ljubljana-mesto
"LJ. BEŽIGRAD, BS4",2000,45.4,235000.0,ljubljana-mesto
"LJ. BEŽIGRAD, BS4",2000,81.0,265000.0,ljubljana-mesto
"LJ. BEŽIGRAD, DUNAJSKA CESTA 105",1986,35.8,200000.0,ljubljana-mesto
"LJ. BEŽIGRAD, DUNAJSKA VERTIKALA, STANOVANJE 12",2011,75.0,335000.0,ljubljana-mesto
"LJ. BEŽIGRAD, DUNAJSKA VERTIKALA, STANOVANJE 19",2011,62.1,260820.0,ljubljana-mesto
"LJ. BEŽIGRAD, DUNAJSKA VERTIKALA, STANOVANJE 21",2011,79.5,333900.0,ljubljana-mesto
"LJ. BEŽIGRAD, DUNAJSKA VERTIKALA, STANOVANJE 24",2011,75.0,315000.0,ljubljana-mesto
"LJ. BEŽIGRAD, DUNAJSKA VERTIKALA, STANOVANJE 3",2011,79.5,353900.0,ljubljana-mesto
"LJ. BEŽIGRAD, DUNAJSKA VERTIKALA, STANOVANJE 5",2011,68.9,289380.0,ljubljana-mesto
"LJ. BEŽIGRAD, DUNAJSKA VERTIKALA, STANOVANJE 6",2011,105.9,367445.0,ljubljana-mesto
"LJ. BEŽIGRAD, DUNAJSKI KRISTALI",2009,98.2,600000.0,ljubljana-mesto
"LJ. BEŽIGRAD, EKO SREBRNA HIŠA",2014,65.3,375000.0,ljubljana-mesto
"LJ. BEŽIGRAD, GARAŽA, TAKOJ VSELJIVO",1986,35.8,145000.0,ljubljana-mesto
"LJ. BEŽIGRAD, GLAVARJEVA ULICA",1964,62.0,250000.0,ljubljana-mesto
"LJ. BEŽIGRAD, GLAVARJEVA ULICA",1978,62.1,229000.0,ljubljana-mesto
"LJ. BEŽIGRAD, GLAVARJEVA ULICA",1965,73.1,250000.0,ljubljana-mesto
"LJ. BEŽIGRAD, GLINŠKOVA PLOŠČAD",1976,42.8,210000.0,ljubljana-mesto
"LJ. BEŽIGRAD, GLINŠKOVA PLOŠČAD",1980,75.7,295000.0,ljubljana-mesto
"LJ. BEŽIGRAD, GLINŠKOVA PLOŠČAD",1978,76.8,355000.0,ljubljana-mesto
"LJ. BEŽIGRAD, HACQUETOVA - R5",2009,123.0,795000.0,ljubljana-mesto
"LJ. BEŽIGRAD, KOROŠKA ULICA - FONDOVI BLOKI",1922,104.5,350000.0,ljubljana-mesto
"LJ. BEŽIGRAD, NEPOSREDNA BLIZINA CENTRA",2018,20.0,170000.0,ljubljana-mesto
"LJ. BEŽIGRAD, OB OBVOZNICI",1974,86.2,289000.0,ljubljana-mesto
"LJ. BEŽIGRAD, ODLIČNA, MIRNA LOKACIJA, GARAŽA",2005,54.5,265000.0,ljubljana-mesto
"LJ. BEŽIGRAD, PARKIRNO MESTO, NOVEJŠI OBJEKT",2003,63.9,267000.0,ljubljana-mesto
"LJ. BEŽIGRAD, PENTHAUS S TERASO IN ČUDOVITIM POGLEDOM",2001,131.9,890000.0,ljubljana-mesto
"LJ. BEŽIGRAD, PERIČEVA UL.",1960,55.8,210000.0,ljubljana-mesto
"LJ. BEŽIGRAD, PODMILŠČAKOVA",1930,60.1,249000.0,ljubljana-mesto
"LJ. BEŽIGRAD, REZIDENCA RUSKI CAR",2011,73.6,300000.0,ljubljana-mesto
"LJ. BEŽIGRAD, SAVSKO NASELJE",1941,50.2,215000.0,ljubljana-mesto
"LJ. BEŽIGRAD, SAVSKO NASELJE",1957,86.95,313020.0,ljubljana-mesto
"LJ. BEŽIGRAD, SVETOSAVSKA ULICA",1940,38.8,159000.0,ljubljana-mesto
"LJ. BEŽIGRAD, ŠARHOVA",1967,74.0,260000.0,ljubljana-mesto
"LJ. BEŽIGRAD, ŠARHOVA, NASPROTI AMZS",1964,77.0,247000.0,ljubljana-mesto
"LJ. BEŽIGRAD, TIK OB KOMPLEKSU PLAVA LAGUNA",1956,95.5,335000.0,ljubljana-mesto
"LJ. BEŽIGRAD, TOPNIŠKA ULICA",1960,60.5,230000.0,ljubljana-mesto
"LJ. BEŽIGRAD, TRIGLAVSKA 15",1978,64.0,245000.0,ljubljana-mesto
"LJ. BEŽIGRAD, Z ATRIJEM IN GARAŽO",1934,38.0,172000.0,ljubljana-mesto
"LJ. BEŽIGRAD, ZELENA JAMA",1900,35.0,153000.0,ljubljana-mesto
